ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650357708.6009548,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357708.6009548,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357708.6009548,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357708.6009548,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357708.6009548,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357708.6009548,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357708.6009548,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517682688
1650357708.6009548,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778057216
1650357708.6009548,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357708.7038815,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357708.7038815,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357708.7038815,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357708.7038815,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357708.7038815,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357708.7038815,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357708.7038815,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517682688
1650357708.7038815,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778057216
1650357708.7038815,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357708.8065953,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357708.8065953,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357708.8065953,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357708.8065953,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357708.8065953,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357708.8065953,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357708.8065953,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517682688
1650357708.8065953,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778057216
1650357708.8065953,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357708.9093351,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357708.9093351,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357708.9093351,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357708.9093351,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357708.9093351,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357708.9093351,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357708.9093351,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517682688
1650357708.9093351,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778057216
1650357708.9093351,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357709.01206,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357709.01206,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357709.01206,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357709.01206,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357709.01206,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357709.01206,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357709.01206,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517682688
1650357709.01206,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778057216
1650357709.01206,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357709.1155214,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357709.1155214,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357709.1155214,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357709.1155214,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357709.1155214,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357709.1155214,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357709.1155214,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517690880
1650357709.1155214,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778073600
1650357709.1155214,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357709.218039,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357709.218039,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357709.218039,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357709.218039,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357709.218039,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357709.218039,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357709.218039,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517690880
1650357709.218039,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778081792
1650357709.218039,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357709.321062,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357709.321062,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357709.321062,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357709.321062,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357709.321062,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357709.321062,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357709.321062,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517690880
1650357709.321062,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778081792
1650357709.321062,public.warehouse,16737,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650357709.4240253,public.customer,16772,public,customer,2,0,3000000,3594708,1500000,0,0,0,1500090,0,60000,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,929513472
1650357709.4240253,public.district,16762,public,district,1019951,169098900,1980050,1980050,500,0,0,0,500,0,60,500,,,,2022-04-19 08:35:36.493269+00:00,0,0,0,5,90112
1650357709.4240253,public.history,16785,public,history,0,0,,,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129490944
1650357709.4240253,public.item,16742,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650357709.4240253,public.new_order,16812,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19963904
1650357709.4240253,public.oorder,16799,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,60000,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98869248
1650357709.4240253,public.order_line,16822,public,order_line,1,0,0,0,15001721,0,0,0,15001872,0,601164,1980069,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1517690880
1650357709.4240253,public.stock,16747,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000428,0,200000,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778081792
